"Status","Population","Life.expectancy","Adult.Mortality","Alcohol","BMI","infant.deaths","Measles","Polio","Hepatitis.B","GDP","Total.expenditure","Diphtheria","thinness..1.19.years","HIV.AIDS"
0,33736494,65,263,0.01,19.1,62,1154,6,65,584.25921,8.16,65,17.2,0.1
0,327582,59.9,271,0.01,18.6,64,492,58,62,612.696514,8.18,62,17.5,0.1
0,31731688,59.9,268,0.01,18.1,66,430,62,64,631.744976,8.13,64,17.7,0.1
0,3696958,59.5,272,0.01,17.6,69,2787,67,67,669.959,8.52,67,17.9,0.1
0,2978599,59.2,275,0.01,17.2,71,3013,68,68,63.537231,7.87,68,18.2,0.1
0,2883167,58.8,279,0.01,16.7,74,1989,66,66,553.32894,9.2,66,18.4,0.1
0,284331,58.6,281,0.01,16.2,77,2861,63,63,445.8932979,9.42,63,18.6,0.1
0,2729431,58.1,287,0.03,15.7,80,1599,64,64,373.3611163,8.33,64,18.8,0.1
0,26616792,57.5,295,0.02,15.2,82,1141,63,63,369.835796,6.73,63,19,0.1
0,2589345,57.3,295,0.03,14.7,84,1990,58,64,272.56377,7.43,58,19.2,0.1
0,257798,57.3,291,0.02,14.2,85,1296,58,66,25.2941299,8.7,58,19.3,0.1
0,24118979,57,293,0.02,13.8,87,466,5,67,219.1413528,8.79,5,19.5,0.1
0,2364851,56.7,295,0.01,13.4,87,798,41,65,198.7285436,8.82,41,19.7,0.1
0,21979923,56.2,3,0.01,13,88,2486,36,64,187.84595,7.76,36,19.9,0.1
0,2966463,55.3,316,0.01,12.6,88,8762,35,63,117.49698,7.8,33,2.1,0.1
0,293756,54.8,321,0.01,12.2,88,6532,24,62,114.56,8.2,24,2.3,0.1
0,28873,77.8,74,4.6,58,0,0,99,99,3954.22783,6,99,1.2,0.1
0,288914,77.5,8,4.51,57.2,0,0,98,98,4575.763787,5.88,98,1.2,0.1
0,289592,77.2,84,4.76,56.5,0,0,99,99,4414.72314,5.66,99,1.3,0.1
0,2941,76.9,86,5.14,55.8,0,9,99,99,4247.61438,5.59,99,1.3,0.1
0,295195,76.6,88,5.37,55.1,0,28,99,99,4437.17868,5.71,99,1.4,0.1
0,291321,76.2,91,5.28,54.3,1,10,99,99,494.358832,5.34,99,1.4,0.1
0,2927519,76.1,91,5.79,53.5,1,0,98,98,4114.136545,5.79,98,1.5,0.1
0,2947314,75.3,1,5.61,52.6,1,0,99,99,437.539647,5.87,99,1.6,0.1
0,29717,75.9,9,5.58,51.7,1,22,99,98,363.13685,6.1,98,1.6,0.1
0,2992547,74.2,99,5.31,5.8,1,68,97,98,35.1293,5.86,97,1.7,0.1
0,311487,73.5,15,5.16,49.9,1,6,97,98,279.142931,6.12,98,1.8,0.1
0,326939,73,17,4.54,48.9,1,7,98,99,2416.588235,6.38,97,1.8,0.1
0,339616,72.8,18,4.29,47.9,1,8,97,97,189.681557,6.27,97,1.9,0.1
0,3511,73.3,15,3.73,46.9,1,16,98,96,1453.642777,6.3,98,2,0.1
0,36173,73.6,14,4.25,46,1,18,97,96,1326.97339,6,97,2.1,0.1
0,38927,72.6,11,3.66,45,1,662,97,96,1175.788981,6.26,97,2.1,0.1
0,39113313,75.4,11,0.01,58.4,21,0,95,95,547.8517,7.21,95,6,0.1
0,38338562,75.3,112,0.53,57.2,21,25,95,95,5471.866766,7.12,95,5.9,0.1
0,37565847,75.1,113,0.66,56.1,21,18,95,95,5564.82566,6.14,95,5.9,0.1
0,36819558,74.9,116,0.56,55,21,112,95,95,5432.2523,5.29,95,5.9,0.1
0,36117637,74.7,119,0.45,53.9,21,103,95,95,4463.394675,5.12,95,5.9,0.1
0,3546576,74.4,123,0.5,52.8,20,107,94,94,3868.83123,5.36,95,6,0.1
0,3486715,74.1,126,0.46,51.8,20,217,92,91,495.254866,4.2,93,6,0.1
0,34376,73.8,129,0.44,5.8,20,0,95,9,3935.183343,3.82,95,6,0.1
0,33777915,73.4,132,0.36,49.8,20,944,95,8,3464.6179,3.36,95,6.1,0.1
0,33288437,72.9,136,0.5,48.9,19,2302,88,83,31.122378,3.24,88,6.1,0.1
