"Status","Population","Life.expectancy","Adult.Mortality","Alcohol","BMI","infant.deaths","Measles","Polio","Hepatitis.B","GDP","Total.expenditure","Diphtheria","thinness..1.19.years","HIV.AIDS"
0,39697,59.4,34,1.07,13.9,7,19,96,96,276.75896,2.97,96,9.4,1.6
1,735888,73.9,139,10.99,63.9,1,1,95,95,7378.25539,7.11,95,1.9,0.1
0,133775,75,92,5.75,28.1,231,38159,99,99,456.512487,4.89,99,4.2,0.1
0,29111417,69.3,167,0.17,54.5,32,5494,71,66,4521.3247,3.93,69,5.4,0.1
0,4757575,79.5,96,3.45,59.5,1,1,91,91,1647.44179,9.31,91,1.7,0.1
0,3325612,75.7,123,6.35,58.3,1,0,96,96,522.951116,11.15,96,1.6,0.1
0,467664,71.4,14,4.19,23.7,0,0,94,91,1976.45856,5.6,93,8.7,0.8
0,297,71.8,124,1.95,16.2,0,926,98,98,32.37239,5.78,98,14.6,0.1
0,333465,75.8,122,5.53,5.3,1,0,88,92,4916.54886,7.48,92,2.1,0.1
0,848455,69.2,154,0.85,45.3,6,222,8,52,2473.85776,6.17,78,2.9,0.1
0,35662,77.2,89,4.03,55.3,0,3000,86,89,5193.94932,9.57,86,2.4,0.1
1,8295487,81,8,12.5,53.7,0,20,85,85,46586.6525,1.4,85,1.7,0.1
0,686958,66.5,238,0.16,18,1,11,93,95,1741.142552,5.88,95,17.3,0.3
1,59277417,81.8,6,6.95,61,2,372,96,96,35849.37364,9.42,96,0.5,0.1
0,2992547,74.2,99,5.31,5.8,1,68,97,98,35.1293,5.86,97,1.7,0.1
1,113562,80,56,10.55,58.7,0,1,99,96,28951.15556,7.44,99,0.9,0.1
0,1997495,55.3,37,6.15,26,53,240,83,84,1182.869227,5.28,84,6.1,5.5
0,77991569,66.8,219,4.73,17.8,69,7120,74,7,138.91977,3.21,78,1,0.1
0,1334515,74.9,156,15.04,57.1,0,0,95,95,14726.31828,6.93,95,2,0.1
1,3322528,78,222,12.3,58.4,0,1,93,95,7863.1629,5.83,94,3,0.1
0,5945747,73.9,157,3.58,52.4,2,0,99,98,1847.19849,8.43,98,1.8,0.1
1,4363,77.8,98,13.14,54,0,0,99,77,48735.99549,7.48,99,1,0.1
0,9897985,72.7,166,6.02,53.6,6,0,85,83,5451.6696,4.6,88,3.3,0.9
0,271265,66.3,25,5.8,46.9,1,7,96,96,265.353659,4.7,96,2.2,0.1
0,1293859294,68,184,3.07,18.1,957,79563,84,79,1573.11889,4.69,85,26.8,0.2
0,827411,68.5,211,2.06,55.9,0,136,98,99,3749.939813,3.84,98,4.1,0.1
0,978169,68,282,6.39,17.1,18,6,97,97,5.6687264,7.66,97,6.7,3.7
