"Status","Population","Life.expectancy","Adult.Mortality","Alcohol","BMI","infant.deaths","Measles","Polio","Hepatitis.B","GDP","Total.expenditure","Diphtheria","thinness..1.19.years","HIV.AIDS"
0,5945747,73.9,157,3.58,52.4,2,0,99,98,1847.19849,8.43,98,1.8,0.1
0,4153332,62,329,1.23,14.7,6,55,91,91,317.3294336,3.29,91,9.2,1.3
0,4488263,79.2,96,4.07,54.4,1,0,8,87,689.396224,9.69,86,1.9,0.1
0,1158897,51.4,477,4.87,28.9,3,1,89,9,2842.438422,8.19,88,6.1,40.2
0,25121796,61.2,263,1.64,26.1,40,120,91,91,1574.978653,4.81,91,6.9,1.3
0,19126637,73.3,159,7.19,49.4,65,0,99,99,7313.557962,8.28,99,3.1,0.1
0,46392,63,26,0.01,3.1,8,14,84,84,1326.66882,3.77,84,8,0.9
0,17731634,63,232,0.01,18.1,49,272,71,71,391.515524,6.11,71,1.3,0.7
0,19228,69.1,197,1.56,16.1,6,35,97,62,174.6692,4.28,97,15.4,0.1
0,813526,66.8,221,4.42,18.7,68,7003,77,42,1.68135,2.79,79,1,0.1
0,3781287,75.5,99,4.25,49.9,0,28,87,36,265.642661,9.4,84,3,0.1
0,14386649,54.9,464,6,29.9,28,0,93,94,839.927936,6.31,93,6.8,13.3
0,1242216,76.6,122,5.26,62.8,31,3,87,84,1452.27766,6.3,87,1.6,0.1
0,6859482,58.9,294,0.01,22.6,14,238,84,84,563.6894247,5.11,84,7,1.7
0,16425578,58.2,252,0.12,17.3,50,372,75,7,348.151511,6.36,7,1.7,0.9
0,333,75,88,1.62,18.7,0,47,98,98,4428.522898,7.37,98,14.3,0.1
0,1952,73.8,145,1.96,17.2,4,0,98,98,1448.7611,4.6,98,15.4,0.1
0,122843,53.6,459,4.93,29.7,2,313,89,89,369.239336,8.47,89,5.4,21.6
0,28323241,69.6,158,0.01,18.5,18,1279,92,92,76.2386977,5.8,92,15.9,0.1
0,26346251,61.9,254,0.01,27.3,38,319,91,9,1814.492297,4.63,9,6.6,0.9
1,2882982,72.9,154,10.6,55,3,353,96,99,8214.185378,5.21,96,3.2,0.1
1,3415213,71.6,22,11.29,57.8,0,1,91,95,555.535669,6.46,94,3.2,0.1
1,4677355,82,61,9.35,64.8,1,1204,97,96,28562.29324,9.39,97,0.6,0.1
0,39697,59.4,34,1.07,13.9,7,19,96,96,276.75896,2.97,96,9.4,1.6
1,53946,81.1,7,11.34,6.1,0,2,99,94,16749.136,7.18,99,0.9,0.1
0,372284,76.4,94,4.54,53.1,0,45,9,89,4611.47298,9.58,89,2.6,0.1
1,8227829,79.4,85,12.4,52.7,0,9,86,86,38242.4252,1.53,86,1.7,0.1
